id_checkin,id_usuario,id_estabelecimento,data_hora_checkin,id_categoria,faixa_gasto,usou_voucher
1,2237.0,35.0,2025-01-26 13:02:03,18.0,baixo,
2,230.0,63.0,2026-02-20 00:36:20,3.0,baixo,False
3,774.0,114.0,2025-09-22 23:48:53,13.0,medio,False
4,,125.0,2026-02-04 22:12:54,30.0,baixo,False
5,517.0,148.0,2025-05-30 18:50:26,24.0,medio,False
6,4170.0,194.0,2025-04-14 22:14:40,7.0,baixo,False
7,3102.0,,2025-01-19 19:01:48,24.0,baixo,False
8,2384.0,118.0,,14.0,baixo,False
9,3339.0,255.0,2026-02-21 02:37:42,29.0,medio,False
10,4111.0,243.0,2025-10-21 10:30:50,2.0,baixo,True
11,3500.0,32.0,2025-11-21 03:16:13,25.0,medio,False
12,1590.0,107.0,2025-03-18 15:20:27,26.0,baixo,False
13,3713.0,97.0,2025-09-28 19:52:18,14.0,medio,False
14,1037.0,254.0,2025-03-31 15:49:58,13.0,medio,False
15,3952.0,187.0,2025-05-19 07:26:52,5.0,baixo,
16,1336.0,276.0,2026-03-22 17:26:43,16.0,alto,False
17,5415.0,370.0,2025-11-29 15:34:32,24.0,baixo,False
18,4007.0,293.0,2025-11-09 15:58:42,2.0,baixo,False
19,3942.0,40.0,2025-05-02 00:23:12,26.0,baixo,False
20,3139.0,119.0,,18.0,medio,False
21,3998.0,56.0,2025-05-25 07:22:07,24.0,medio,False
22,5740.0,270.0,2025-08-23 02:15:03,20.0,baixo,False
23,3162.0,164.0,2025-02-18 10:35:22,25.0,medio,False
24,4491.0,204.0,2025-06-01 05:06:04,1.0,medio,False
25,1478.0,34.0,2025-03-17 13:41:47,25.0,baixo,False
26,1612.0,6.0,2025-05-04 04:52:20,25.0,alto,True
27,5718.0,46.0,2025-06-25 14:44:14,30.0,medio,True
28,4886.0,205.0,2025-06-23 11:50:38,2.0,medio,False
29,4774.0,119.0,2025-11-28 12:25:52,18.0,medio,False
30,4620.0,335.0,2025-11-21 01:21:44,16.0,medio,False
31,3492.0,151.0,2025-12-19 07:56:19,,medio,False
32,2866.0,114.0,2025-12-16 03:59:04,18.0,medio,True
33,1297.0,64.0,2026-02-06 16:09:15,26.0,baixo,True
34,5352.0,96.0,2025-04-07 07:34:30,20.0,alto,False
35,1696.0,172.0,2025-06-17 12:50:02,24.0,alto,True
36,4269.0,11.0,2025-02-02 10:37:19,8.0,baixo,False
37,707.0,68.0,2025-02-11 03:21:37,6.0,alto,False
38,1817.0,76.0,2025-01-10 14:31:37,9.0,baixo,False
39,3174.0,56.0,2025-09-25 16:53:23,24.0,medio,False
40,2865.0,179.0,2025-06-22 17:15:16,22.0,alto,False
41,1067.0,63.0,2025-01-29 09:00:09,16.0,baixo,False
42,3311.0,231.0,2026-02-26 19:03:29,8.0,medio,True
