id_usuario,id_estabelecimento,visualizacoes_perfil,saves_favoritos,compartilhamentos
4272,203,7.0,1.0,0.0
4513,132,2.0,0.0,0.0
2851,160,5.0,0.0,
6179,218,6.0,0.0,0.0
1113,288,7.0,1.0,1.0
4324,167,3.0,0.0,0.0
887,285,5.0,0.0,1.0
5895,112,6.0,0.0,0.0
4445,160,8.0,0.0,1.0
5064,233,7.0,0.0,2.0
3237,270,7.0,2.0,0.0
2506,24,6.0,,0.0
2634,223,5.0,,0.0
6784,24,8.0,3.0,0.0
1970,294,4.0,1.0,0.0
2669,70,6.0,2.0,2.0
4365,54,6.0,1.0,1.0
2195,293,,1.0,1.0
3351,189,9.0,0.0,0.0
3127,113,6.0,,1.0
5585,40,4.0,0.0,0.0
3594,14,3.0,0.0,0.0
1208,167,7.0,1.0,0.0
1140,148,,0.0,1.0
5480,94,6.0,0.0,0.0
5951,263,5.0,0.0,
2977,347,0.0,1.0,0.0
568,52,3.0,1.0,0.0
1645,64,6.0,1.0,0.0
3652,190,,0.0,
1156,233,7.0,0.0,0.0
4239,21,10.0,1.0,0.0
3743,283,,2.0,0.0
4866,286,6.0,2.0,
1740,85,3.0,0.0,1.0
2209,166,11.0,2.0,0.0
5550,99,9.0,1.0,0.0
1458,21,3.0,0.0,0.0
5268,294,3.0,2.0,0.0
2498,73,6.0,0.0,0.0
5441,212,9.0,0.0,0.0
4948,184,9.0,1.0,0.0
1016,237,6.0,1.0,0.0
536,96,7.0,0.0,0.0
2190,83,7.0,1.0,1.0
3633,82,5.0,1.0,1.0
1961,284,,0.0,0.0
2848,251,6.0,1.0,1.0
187,97,11.0,3.0,0.0
3712,20,6.0,2.0,0.0
2022,165,9.0,1.0,0.0
504,80,9.0,0.0,1.0
2647,75,10.0,2.0,1.0
733,290,6.0,1.0,0.0
2623,270,7.0,1.0,0.0
2759,214,9.0,2.0,0.0
5201,276,11.0,1.0,1.0
4005,39,3.0,,0.0
3461,269,6.0,1.0,0.0
2090,197,4.0,0.0,0.0
2285,221,8.0,2.0,0.0
2260,109,9.0,0.0,2.0
2760,188,7.0,0.0,0.0
600,150,5.0,2.0,0.0
1433,42,4.0,0.0,1.0
1326,198,5.0,1.0,0.0
1819,123,3.0,,1.0
96,16,6.0,2.0,0.0
5767,187,5.0,0.0,0.0
5052,21,3.0,,0.0
5485,292,4.0,2.0,0.0
4525,126,2.0,0.0,0.0
2180,106,9.0,2.0,
3484,265,4.0,0.0,0.0
2094,268,8.0,1.0,0.0
701,278,6.0,1.0,0.0
4976,215,4.0,1.0,0.0
4648,296,2.0,0.0,1.0
3874,239,4.0,0.0,0.0
2420,104,,1.0,0.0
1946,59,8.0,,1.0
395,11,6.0,0.0,0.0
4245,88,6.0,1.0,0.0
1724,90,10.0,1.0,
1604,280,7.0,0.0,1.0
3714,62,11.0,1.0,0.0
3412,267,6.0,0.0,0.0
4060,95,6.0,0.0,0.0
5942,122,5.0,2.0,0.0
4587,134,4.0,0.0,0.0
3269,102,8.0,0.0,0.0
3722,116,11.0,0.0,
2121,270,5.0,1.0,0.0
1823,122,7.0,1.0,0.0
4195,372,6.0,0.0,2.0
4743,226,8.0,1.0,0.0
2396,199,5.0,0.0,0.0
2663,67,3.0,0.0,0.0
2418,42,9.0,1.0,1.0
4365,259,6.0,0.0,0.0
748,123,1.0,0.0,0.0
5844,11,,1.0,0.0
760,86,10.0,3.0,1.0
4760,270,7.0,2.0,0.0
4320,270,4.0,1.0,0.0
3158,171,4.0,1.0,1.0
5820,206,6.0,2.0,1.0
3052,65,7.0,2.0,0.0
5381,248,2.0,0.0,
5753,200,9.0,,1.0
