id_usuario,idade,genero,origem_geografica,horario_maior_busca,efetuou_checkin,bairro
1,62.0,masculino,Jaboatão dos Guararapes,07:50:15,True,Candeias
2,25.0,feminino,OLINDA,19:15:00,False,Rio Doce
3,36.0,feminino,Olinda,12:10:45,False,Casa Caiada
4,55.0,feminino,Goiana,16:10:30,True,Centro
5,46.0,feminino,Jaboatão dos Guararapes,10:55:45,False,Candeias
6,40.0,masculino,Recife,15:25:00,True,Madalena
7,64.0,feminino,Olinda,22:25:15,True,Casa Caiada
8,49.0,masculino,OLINDA,14:55:45,False,Rio Doce
9,27.0,masculino,Cabo de Santo Agostinho,19:30:15,False,Garapu
10,44.0,masculino,Igarassu,16:45:30,False,Centro
11,,feminino,Recife,11:15:00,True,Espinheiro
12,56.0,masculino,igarassu,12:40:00,True,Centro
13,46.0,masculino,recife,08:55:15,False,Casa Forte
14,62.0,masculino,paulista,20:00:45,True,Pau Amarelo
15,20.0,masculino,Recife,14:50:15,False,Boa Viagem
16,64.0,masculino,Recife,19:20:15,False,Madalena
17,54.0,masculino,Caruaru,14:30:15,False,Maurício de Nassau
18,48.0,masculino,Recife,14:20:15,False,Espinheiro
19,28.0,masculino,Santa Cruz do Capibaribe,16:00:00,True,Centro
20,39.0,masculino,Recife,13:50:30,False,Madalena
21,35.0,feminino,Olinda,22:25:45,False,Bairro Novo
22,52.0,feminino,Paulista,15:25:15,False,Pau Amarelo
23,23.0,feminino,Recife,13:35:45,True,Casa Forte
24,20.0,feminino,Recife,21:00:00,False,Derby
25,22.0,masculino,Recife,21:10:30,False,Derby
26,26.0,masculino,Santa Cruz do Capibaribe,17:35:30,True,Centro
27,45.0,feminino,Paulista,18:40:45,True,Janga
28,36.0,feminino,recife,19:50:00,False,Espinheiro
29,45.0,nao_informado,Recife,21:55:30,False,Derby
30,44.0,feminino,Recife,21:00:15,True,Casa Forte
31,,masculino,Olinda,11:00:00,False,Bairro Novo
32,55.0,nao_informado,Palmares,20:50:15,False,Centro
33,60.0,feminino,Jaboatão dos Guararapes,22:35:30,True,Candeias
34,38.0,masculino,RECIFE,20:30:30,,Madalena
35,44.0,nao_informado,Olinda,15:30:15,True,Rio Doce
36,63.0,masculino,GRAVATÁ,11:05:30,False,Centro
37,23.0,feminino,,20:50:15,True,Não informado
38,55.0,masculino,Camaragibe,21:35:00,False,Centro
39,28.0,masculino,,19:10:30,False,Não informado
40,64.0,feminino,Paulista,08:30:15,False,Janga
41,58.0,masculino,Jaboatão dos Guararapes,13:05:45,True,Prazeres
42,34.0,feminino,Jaboatão dos Guararapes,14:55:15,False,Piedade
43,56.0,feminino,Olinda,07:00:45,False,Bairro Novo
44,24.0,masculino,Recife,18:55:45,False,Casa Forte
45,47.0,,Recife,13:10:30,True,Casa Forte
46,38.0,feminino,Vitória de Santo Antão,21:35:30,True,Matriz
47,18.0,feminino,Recife,,True,Casa Forte
48,42.0,feminino,Santa Cruz do Capibaribe,14:15:30,False,Centro
49,49.0,feminino,jaboatão dos guararapes,08:50:45,True,Candeias
50,25.0,feminino,Olinda,18:15:45,False,Casa Caiada
51,22.0,,Vitória de Santo Antão,11:25:00,True,Matriz
52,47.0,masculino,Cabo de Santo Agostinho,11:45:30,False,Centro
53,25.0,nao_informado,Recife,18:55:45,False,Espinheiro
54,36.0,feminino,Recife,11:55:00,False,Espinheiro
55,,masculino,petrolina,15:00:00,False,Centro
56,47.0,masculino,Paulista,17:05:00,True,Pau Amarelo
57,32.0,feminino,Cabo de Santo Agostinho,18:50:30,False,Centro
58,53.0,feminino,Paulista,09:30:30,False,Pau Amarelo
